product_id,date,sales_quantity,stock_level,price,day_of_week,month,year,is_weekend,sales_7d_avg,stock_to_sales_ratio
PRD001,2024-05-22 08:51:18.467791,5,28,335.93,2,5,2024,0,5.0,4.666666666666667
PRD001,2024-05-23 08:51:18.467791,7,88,349.3,3,5,2024,0,6.0,11.0
PRD001,2024-05-24 08:51:18.467791,6,47,386.75,4,5,2024,0,6.0,6.714285714285714
PRD001,2024-05-25 08:51:18.467791,15,37,333.33,5,5,2024,1,8.25,2.3125
PRD001,2024-05-26 08:51:18.467791,16,50,357.5,6,5,2024,1,9.8,2.9411764705882355
PRD001,2024-05-27 08:51:18.467791,10,78,324.16,0,5,2024,0,9.833333333333334,7.090909090909091
PRD001,2024-05-28 08:51:18.467791,10,75,322.54,1,5,2024,0,9.857142857142858,6.818181818181818
PRD001,2024-05-29 08:51:18.467791,7,23,340.01,2,5,2024,0,10.142857142857142,2.875
PRD001,2024-05-30 08:51:18.467791,10,27,326.74,3,5,2024,0,10.571428571428571,2.4545454545454546
PRD001,2024-05-31 08:51:18.467791,7,64,392.47,4,5,2024,0,10.714285714285714,8.0
PRD001,2024-06-01 08:51:18.467791,12,33,322.2,5,6,2024,1,10.285714285714286,2.5384615384615383
PRD001,2024-06-02 08:51:18.467791,7,81,365.26,6,6,2024,1,9.0,10.125
PRD001,2024-06-03 08:51:18.467791,11,72,379.84,0,6,2024,0,9.142857142857142,6.0
PRD001,2024-06-04 08:51:18.467791,7,82,362.58,1,6,2024,0,8.714285714285714,10.25
PRD001,2024-06-05 08:51:18.467791,8,34,391.98,2,6,2024,0,8.857142857142858,3.7777777777777777
PRD001,2024-06-06 08:51:18.467791,5,17,354.07,3,6,2024,0,8.142857142857142,2.8333333333333335
PRD001,2024-06-07 08:51:18.467791,6,57,379.58,4,6,2024,0,8.0,8.142857142857142
PRD001,2024-06-08 08:51:18.467791,9,18,370.97,5,6,2024,1,7.571428571428571,1.8
PRD001,2024-06-09 08:51:18.467791,15,30,376.35,6,6,2024,1,8.714285714285714,1.875
PRD001,2024-06-10 08:51:18.467791,6,15,344.7,0,6,2024,0,8.0,2.142857142857143
PRD001,2024-06-11 08:51:18.467791,6,81,342.09,1,6,2024,0,7.857142857142857,11.571428571428571
PRD001,2024-06-12 08:51:18.467791,5,30,388.04,2,6,2024,0,7.428571428571429,5.0
PRD001,2024-06-13 08:51:18.467791,6,64,363.08,3,6,2024,0,7.571428571428571,9.142857142857142
PRD001,2024-06-14 08:51:18.467791,6,32,392.28,4,6,2024,0,7.571428571428571,4.571428571428571
PRD001,2024-06-15 08:51:18.467791,9,52,370.16,5,6,2024,1,7.571428571428571,5.2
PRD001,2024-06-16 08:51:18.467791,12,24,347.95,6,6,2024,1,7.142857142857143,1.8461538461538463
PRD001,2024-06-17 08:51:18.467791,9,22,387.36,0,6,2024,0,7.571428571428571,2.2
PRD001,2024-06-18 08:51:18.467791,8,31,340.09,1,6,2024,0,7.857142857142857,3.4444444444444446
PRD001,2024-06-19 08:51:18.467791,6,16,381.5,2,6,2024,0,8.0,2.2857142857142856
PRD001,2024-06-20 08:51:18.467791,7,63,363.66,3,6,2024,0,8.142857142857142,7.875
PRD001,2024-06-21 08:51:18.467791,8,24,326.11,4,6,2024,0,8.428571428571429,2.6666666666666665
PRD001,2024-06-22 08:51:18.467791,11,12,344.92,5,6,2024,1,8.714285714285714,1.0
PRD001,2024-06-23 08:51:18.467791,13,41,337.94,6,6,2024,1,8.857142857142858,2.9285714285714284
PRD001,2024-06-24 08:51:18.467791,10,43,390.16,0,6,2024,0,9.0,3.909090909090909
PRD001,2024-06-25 08:51:18.467791,14,14,363.62,1,6,2024,0,9.857142857142858,0.9333333333333333
PRD001,2024-06-26 08:51:18.467791,11,86,392.49,2,6,2024,0,10.571428571428571,7.166666666666667
PRD001,2024-06-27 08:51:18.467791,8,34,366.51,3,6,2024,0,10.714285714285714,3.7777777777777777
PRD001,2024-06-28 08:51:18.467791,13,7,339.53,4,6,2024,0,11.428571428571429,0.5
PRD001,2024-06-29 08:51:18.467791,12,39,371.95,5,6,2024,1,11.571428571428571,3.0
PRD001,2024-06-30 08:51:18.467791,16,72,347.17,6,6,2024,1,12.0,4.235294117647059
PRD001,2024-07-01 08:51:18.467791,10,10,335.33,0,7,2024,0,12.0,0.9090909090909091
PRD001,2024-07-02 08:51:18.467791,10,83,384.88,1,7,2024,0,11.428571428571429,7.545454545454546
PRD001,2024-07-03 08:51:18.467791,8,14,340.51,2,7,2024,0,11.0,1.5555555555555556
PRD001,2024-07-04 08:51:18.467791,7,27,379.16,3,7,2024,0,10.857142857142858,3.375
PRD001,2024-07-05 08:51:18.467791,9,57,329.47,4,7,2024,0,10.285714285714286,5.7
PRD001,2024-07-06 08:51:18.467791,13,16,381.04,5,7,2024,1,10.428571428571429,1.1428571428571428
PRD001,2024-07-07 08:51:18.467791,11,77,346.31,6,7,2024,1,9.714285714285714,6.416666666666667
PRD001,2024-07-08 08:51:18.467791,10,33,342.92,0,7,2024,0,9.714285714285714,3.0
PRD001,2024-07-09 08:51:18.467791,11,67,355.93,1,7,2024,0,9.857142857142858,5.583333333333333
PRD001,2024-07-10 08:51:18.467791,7,34,327.16,2,7,2024,0,9.714285714285714,4.25
PRD001,2024-07-11 08:51:18.467791,7,80,357.48,3,7,2024,0,9.714285714285714,10.0
PRD001,2024-07-12 08:51:18.467791,10,71,348.59,4,7,2024,0,9.857142857142858,6.454545454545454
PRD001,2024-07-13 08:51:18.467791,14,9,360.42,5,7,2024,1,10.0,0.6
PRD001,2024-07-14 08:51:18.467791,10,80,379.56,6,7,2024,1,9.857142857142858,7.2727272727272725
PRD001,2024-07-15 08:51:18.467791,7,66,363.25,0,7,2024,0,9.428571428571429,8.25
PRD001,2024-07-16 08:51:18.467791,7,24,389.6,1,7,2024,0,8.857142857142858,3.0
PRD001,2024-07-17 08:51:18.467791,10,78,324.59,2,7,2024,0,9.285714285714286,7.090909090909091
PRD001,2024-07-18 08:51:18.467791,7,52,366.09,3,7,2024,0,9.285714285714286,6.5
PRD001,2024-07-19 08:51:18.467791,7,60,375.58,4,7,2024,0,8.857142857142858,7.5
PRD001,2024-07-20 08:51:18.467791,9,36,357.87,5,7,2024,1,8.142857142857142,3.6
PRD001,2024-07-21 08:51:18.467791,12,53,328.95,6,7,2024,1,8.428571428571429,4.076923076923077
PRD001,2024-07-22 08:51:18.467791,9,13,359.13,0,7,2024,0,8.714285714285714,1.3
PRD001,2024-07-23 08:51:18.467791,7,14,332.59,1,7,2024,0,8.714285714285714,1.75
PRD001,2024-07-24 08:51:18.467791,7,80,344.84,2,7,2024,0,8.285714285714286,10.0
PRD001,2024-07-25 08:51:18.467791,12,77,371.13,3,7,2024,0,9.0,5.923076923076923
PRD001,2024-07-26 08:51:18.467791,10,11,382.37,4,7,2024,0,9.428571428571429,1.0
PRD001,2024-07-27 08:51:18.467791,17,33,322.5,5,7,2024,1,10.571428571428571,1.8333333333333333
PRD001,2024-07-28 08:51:18.467791,14,32,388.24,6,7,2024,1,10.857142857142858,2.1333333333333333
PRD001,2024-07-29 08:51:18.467791,8,92,327.46,0,7,2024,0,10.714285714285714,10.222222222222221
PRD001,2024-07-30 08:51:18.467791,9,38,359.01,1,7,2024,0,11.0,3.8
PRD001,2024-07-31 08:51:18.467791,10,17,353.12,2,7,2024,0,11.428571428571429,1.5454545454545454
PRD001,2024-08-01 08:51:18.467791,6,91,357.11,3,8,2024,0,10.571428571428571,13.0
PRD001,2024-08-02 08:51:18.467791,9,59,372.55,4,8,2024,0,10.428571428571429,5.9
PRD001,2024-08-03 08:51:18.467791,11,39,339.17,5,8,2024,1,9.571428571428571,3.25
PRD001,2024-08-04 08:51:18.467791,14,64,385.97,6,8,2024,1,9.571428571428571,4.266666666666667
PRD001,2024-08-05 08:51:18.467791,8,75,380.12,0,8,2024,0,9.571428571428571,8.333333333333334
PRD001,2024-08-06 08:51:18.467791,9,35,386.34,1,8,2024,0,9.571428571428571,3.5
PRD001,2024-08-07 08:51:18.467791,5,90,344.73,2,8,2024,0,8.857142857142858,15.0
PRD001,2024-08-08 08:51:18.467791,7,74,360.87,3,8,2024,0,9.0,9.25
PRD001,2024-08-09 08:51:18.467791,7,76,338.48,4,8,2024,0,8.714285714285714,9.5
PRD001,2024-08-10 08:51:18.467791,9,32,358.42,5,8,2024,1,8.428571428571429,3.2
PRD001,2024-08-11 08:51:18.467791,10,64,369.88,6,8,2024,1,7.857142857142857,5.818181818181818
PRD001,2024-08-12 08:51:18.467791,7,66,359.35,0,8,2024,0,7.714285714285714,8.25
PRD001,2024-08-13 08:51:18.467791,9,12,333.72,1,8,2024,0,7.714285714285714,1.2
PRD001,2024-08-14 08:51:18.467791,5,18,331.24,2,8,2024,0,7.714285714285714,3.0
PRD001,2024-08-15 08:51:18.467791,9,68,353.83,3,8,2024,0,8.0,6.8
PRD001,2024-08-16 08:51:18.467791,9,24,348.86,4,8,2024,0,8.285714285714286,2.4
